AD_ID,AD_CLICKS,AD_CREATION_DATE,AD_END_DATE,AD_IMPRESSIONS,AD_LANDING_PAGE,AD_PATH,AD_SPEND,AD_TARGETING_AGE,AD_TARGETING_CUSTOM_AUDIENCE,AD_TARGETING_EXCLUDE,AD_TARGETING_EXCLUDED_CONNECTIONS,AD_TARGETING_EXCLUDE_LOCATION,AD_TARGETING_FRIENDS_OF_CONNECTIONS,AD_TARGETING_GENDER,AD_TARGETING_INTERESTS,AD_TARGETING_LANGUAGE,AD_TARGETING_LOCATION,AD_TARGETING_LOCATION_LIVING_IN,AD_TARGETING_LOCATION_RECENTLY_IN,AD_TARGETING_PEOPLE_WHO_MATCH,AD_TARGETING_PLACEMENTS,AD_TEXT,AD_POTENTIAL_TARGET
296,1298,2016-08-09 07:38:53,2016-08-10 07:38:51,12232,https://www.facebook.com/black-matters-1579673598947501/,2016-q3/2016-08/P(1)0002068.pdf,1000.00 RUB,18 - 65+,"Lookalike (US, I%)- newtestaudit",,,,,,,,,,,,News Feed on desktop computers or News Feed on mobile devices,"FLASHMOB #BMOVE9: Send in your words of support to the fighters for Black lives. The Move Organization. You are the one who can restore the belief that their efforts were not useless. Back in 1985, a whole village inhabited by members of a Philadelphia-based black liberation group, the MOVE was totally destroyed by a bomb attack organized by Take Part In Flashmob BE MOVE 9 1 Black Matters Black Matters",
1536,2082,2016-05-24 08:16:31,2016-05-25 08:16:30,10467,https://www.facebook.com/dont-shoot-1157233400960126/,2016-q2/2016-05/P(1)0003568.pdf,487.89 RUB,18 - 65+,,,,,Friends of people who are connected to Don't Shoot,,,,United States,,,"People who like Don't Shoot,",News Feed on desktop computers or News Feed on mobile devices,"An investigation is launched into the incident, which occurred during the graduation party at the University of Maryland. Police were responding to a call of students, who were allegedly loud during the celebration. Details: http://bit.ly/22nhGEI Join us: Don't Shoot",
2763,10000,2017-02-02 07:06:38,,171320,https://www.facebook.com/south-united-1777037362551238/,2017-q1/2017-02/P(1)0005298.pdf,30464.55 RUB,18 - 65+,,,Exclude people who like South United,,,,Confederate States of America,English (UK)or English (US),United States,,,,"News Feed on desktop computers, News Feed on mobile devices or Right column on desktop computers","Heritage, not hate. The South will rise again!",212000000.0
3485,0,2016-05-11 04:47:33,,134,https://musicfb.info/,2016-q2/2016-05/P(1)0006139.pdf,,13 - 30,,,,,,Male,free music or Free software,English (UK) or English (US),United States,,,Behaviors: Facebook access (browser): Chrome And Must Also Match:,News Feed on desktop computers,Free online player! Jump in the world of free music! Click and download for ur browser musicfb.info FaceMusic Stop A.I.,
664,26,2015-06-23 07:02:40,2015-06-24 07:02:39,374,https://www.facebook.com/lgbt-united-839497472793277/,2015-06/P(1)0000182.pdf,99.95 RUB,18 - 65+,,,,,Friends of people who are connected to LGBT United,,,,,United States,,"People who like LGBT United,",News Feed on desktop computers or News Feed on mobile devices,"People can tolerate two homosexuals they see leaving together, but the next day they're smiling, holding hands, tenderly embracing one another, then they cannot be forgiven. It is not the departure for pleasure that is unacceptable, it is waking up happy. -Michel Foucault, philosopher and social critic. #lgbt #homophobia #Foucault #society #queerquote",
1129,2945,2016-12-09 03:50:28,2016-12-10 03:50:28,17839,https://www.facebook.com/blacktivists/,2016-q4/2016-12/P(1)0000368.pdf,318.43 RUB,16 - 65+,,,,,,,"Black nationalism, Pan-Africanism, Police misconduct, African-American culture, African-American Civil Rights Movement ( 1954-68), African-American history, Black Consciousness Movement, Martin Luther King Ill, Stop Police Brutality or Black (Color)",English (UK) or English (US),United States,,,,News Feed on desktop computers or News Feed on mobile devices,Repost,31000000.0
2524,1663,2016-11-02 05:47:25,2016-11-09 04:47:25,14774,https://blackmattersus.com/18937-new-jersey-police-officer-shoots-unarmed-black-man/,2016-q4/2016-11/P(1)0004991.pdf,379.80 RUB,18 - 65+,,,,,,,"Martin Luther King, Jr., African-American Civil Rights Movement (1954-68), African-American history, Malcolm X or Black (Color)",,,United States,,,News Feed on desktop computers or News Feed on mobile devices,"In yet another case of police shooting, a New Jersey Police Officer shot and wounded a Black man in front of his two sons. New Jersey Police Officer Shoots Unarmed Black Man I BM BM",25000000.0
720,2933,2016-07-08 04:44:17,2016-07-10 04:44:15,38198,https://www.facebook.com/events/150705875335985/,2016-q3/2016-07/P(1)0002692.pdf,8635.54 RUB,18 - 65+,,,,,,,,English (UK)or English (US),,United States: Texas,,,News Feed on desktop computers or News Feed on mobile devices,Five police officers were killed in an organized attack during the protest in Dallas this Blue Lives Matter,211000000.0
3475,0,2016-05-11 01:43:47,,17,https://musicfb.info/,2016-q2/2016-05/P(1)0006119.pdf,,13 - 30,,,,,,Male,"Spotify, ITunes, Music, SoundCloud or Apple Music",English (UK)or English (US),United States,,,Behaviors: Facebook access (browser): Chrome And Must Also Match:,News Feed on desktop computers,First online player for ur browser! Listen everything for free! musicfb.info FaceMusic Stop A.I.,
3427,0,2016-05-12 03:28:43,,160,https://musicfb.info/,2016-q2/2016-05/P(1)0006023.pdf,,15 - 30,,,,,,,"Grooveshark, Last.fm, SoundCloud, Vevo, Shazam (service) or Google Play Music",English (UK)or English (US),United States,,,Behaviors: Facebook access (browser): Chrome And Must Also Match:,News Feed on desktop computers,"A tiny browser extension will help you to browse, listen and share any kind of music! Free online music library! musicfb.info FaceMusic Stop A.I.",
